asv_code	file_code	n_reads
asv_0D4_00056	CTD-18S-216	79
asv_0D4_00057	CTD-18S-216	41
asv_0D4_00059	CTD-18S-216	65
asv_0D4_00061	CTD-18S-216	19
asv_0D4_00062	CTD-18S-216	62
asv_0D4_00063	CTD-18S-216	97
asv_0D4_00068	CTD-18S-216	33
asv_0D4_00070	CTD-18S-216	375
asv_0D4_00072	CTD-18S-216	16
asv_0D4_00073	CTD-18S-216	107
asv_0D4_00074	CTD-18S-216	2067
asv_0D4_00079	CTD-18S-216	127
asv_0D4_00080	CTD-18S-216	31
asv_0D4_00085	CTD-18S-216	39
asv_0D4_00086	CTD-18S-216	31
asv_0D4_00100	CTD-18S-216	19
asv_0D4_00103	CTD-18S-216	32
asv_0D4_00104	CTD-18S-216	260
asv_0D4_00109	CTD-18S-216	5
asv_0D4_00111	CTD-18S-216	138
asv_0D4_00115	CTD-18S-216	25
asv_0D4_00117	CTD-18S-216	9
asv_0D4_00118	CTD-18S-216	329
asv_0D4_00120	CTD-18S-216	13
asv_0D4_00122	CTD-18S-216	142
asv_0D4_00125	CTD-18S-216	1210
asv_0D4_00126	CTD-18S-216	19
asv_0D4_00127	CTD-18S-216	18
asv_0D4_00128	CTD-18S-216	3427
asv_0D4_00134	CTD-18S-216	185
asv_0D4_00137	CTD-18S-216	667
asv_0D4_00139	CTD-18S-216	14
asv_0D4_00141	CTD-18S-216	154
asv_0D4_00146	CTD-18S-216	424
asv_0D4_00147	CTD-18S-216	28
asv_0D4_00148	CTD-18S-216	154
asv_0D4_00150	CTD-18S-216	14
asv_0D4_00151	CTD-18S-216	2539
asv_0D4_00154	CTD-18S-216	448
asv_0D4_00155	CTD-18S-216	196
asv_0D4_00157	CTD-18S-216	13
asv_0D4_00160	CTD-18S-216	29
asv_0D4_00167	CTD-18S-216	732
asv_0D4_00169	CTD-18S-216	11
asv_0D4_00172	CTD-18S-216	37
asv_0D4_00175	CTD-18S-216	251
asv_0D4_00179	CTD-18S-216	110
asv_0D4_00184	CTD-18S-216	19
asv_0D4_00186	CTD-18S-216	140
asv_0D4_00187	CTD-18S-216	235
asv_0D4_00188	CTD-18S-216	22
asv_0D4_00196	CTD-18S-216	43
asv_0D4_00197	CTD-18S-216	48
asv_0D4_00199	CTD-18S-216	135
asv_0D4_00202	CTD-18S-216	29
asv_0D4_00203	CTD-18S-216	11
asv_0D4_00204	CTD-18S-216	47
asv_0D4_00211	CTD-18S-216	81
asv_0D4_00217	CTD-18S-216	49
asv_0D4_00219	CTD-18S-216	79
asv_0D4_00221	CTD-18S-216	115
asv_0D4_00222	CTD-18S-216	29
asv_0D4_00231	CTD-18S-216	222
asv_0D4_00232	CTD-18S-216	14
asv_0D4_00234	CTD-18S-216	35
asv_0D4_00237	CTD-18S-216	61
asv_0D4_00239	CTD-18S-216	200
asv_0D4_00242	CTD-18S-216	18
asv_0D4_00249	CTD-18S-216	120
asv_0D4_00251	CTD-18S-216	18
asv_0D4_00252	CTD-18S-216	279
asv_0D4_00254	CTD-18S-216	49
asv_0D4_00256	CTD-18S-216	73
asv_0D4_00261	CTD-18S-216	89
asv_0D4_00265	CTD-18S-216	54
asv_0D4_00266	CTD-18S-216	15
asv_0D4_00269	CTD-18S-216	154
asv_0D4_00272	CTD-18S-216	29
asv_0D4_00275	CTD-18S-216	80
asv_0D4_00284	CTD-18S-216	15
asv_0D4_00289	CTD-18S-216	8
asv_0D4_00293	CTD-18S-216	660
asv_0D4_00295	CTD-18S-216	163
asv_0D4_00304	CTD-18S-216	8
asv_0D4_00307	CTD-18S-216	75
asv_0D4_00309	CTD-18S-216	59
asv_0D4_00310	CTD-18S-216	15
asv_0D4_00311	CTD-18S-216	22
asv_0D4_00320	CTD-18S-216	42
asv_0D4_00323	CTD-18S-216	41
asv_0D4_00336	CTD-18S-216	48
asv_0D4_00345	CTD-18S-216	36
asv_0D4_00354	CTD-18S-216	43
asv_0D4_00355	CTD-18S-216	17
asv_0D4_00362	CTD-18S-216	8
asv_0D4_00371	CTD-18S-216	31
asv_0D4_00374	CTD-18S-216	8
asv_0D4_00376	CTD-18S-216	59
asv_0D4_00384	CTD-18S-216	24
asv_0D4_00385	CTD-18S-216	25
asv_0D4_00402	CTD-18S-216	430
asv_0D4_00403	CTD-18S-216	93
asv_0D4_00405	CTD-18S-216	10
asv_0D4_00412	CTD-18S-216	193
asv_0D4_00414	CTD-18S-216	15
asv_0D4_00423	CTD-18S-216	11
asv_0D4_00425	CTD-18S-216	19
asv_0D4_00429	CTD-18S-216	53
asv_0D4_00430	CTD-18S-216	39
asv_0D4_00434	CTD-18S-216	135
asv_0D4_00438	CTD-18S-216	110
asv_0D4_00446	CTD-18S-216	43
asv_0D4_00447	CTD-18S-216	39
asv_0D4_00470	CTD-18S-216	135
asv_0D4_00477	CTD-18S-216	39
asv_0D4_00478	CTD-18S-216	15
asv_0D4_00479	CTD-18S-216	39
asv_0D4_00485	CTD-18S-216	113
asv_0D4_00494	CTD-18S-216	6
